parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
fc_sigma,5,0.22832050223091852,0.2618517893061512,0.21697824817692046,0.14127863532330187,0.3414760971204997,0.95,0.7000000000000001,glycerol,37
fc_sigma,6,0.037707656321065965,0.04618161069766556,0.03697409035413936,0.026216799029535654,0.05055024576690074,0.95,1.0,glycerol,37
fc_sigma,7,0.0062886045051513345,0.006663447650715395,0.005946388624141711,0.003805323367589999,0.009483936399653989,0.95,2.0,glycerol,37
fc_sigma,8,0.009614003271145805,0.007651888418614347,0.008900011694015674,0.005820908257455494,0.015471623003649246,0.95,3.0,glycerol,37
fc_sigma,9,0.016650295316162248,0.01838822962004291,0.01555745263688135,0.009565384344791166,0.026386821217292102,0.95,4.0,glycerol,37
fc_sigma,10,0.018757542425655534,0.018160587860888616,0.018681879903392516,0.011935075678707309,0.02549044469904575,0.95,7.0,glycerol,37
fc_sigma,11,0.04305356138909304,0.04759243959109942,0.0425456185167242,0.026264558133130608,0.05883842862447908,0.95,10.0,glycerol,37
rep_mu,1,0.044107267629791266,7.883027564048461e-12,3.3680946920355836e-11,2.220446049250313e-16,0.36788749071643045,0.95,0.09999999999999999,glycerol,37
rep_mu,2,0.01165824758871078,6.66755539668884e-12,6.972766118384932e-07,2.220446049250313e-16,0.026526114211992913,0.95,0.19999999999999998,glycerol,37
rep_mu,3,0.028078367193638452,6.283862319378386e-14,1.687017636697874e-09,2.220446049250313e-16,0.15577127518398937,0.95,0.3,glycerol,37
